time,direction,entry,sl,lot,pnl_bruto,costo,pnl_neto,tps_hit,sl_hit,result,capital
2026-02-26 09:09:00+00:00,LONG,5183.38521,5180.77042,24.5,4270.82,171.5,4099.32,1,True,BREAKEVEN,324411.31
2026-02-27 11:48:00+00:00,LONG,5173.86458,5172.40916,44.58,4325.51,312.06,4013.45,1,True,BREAKEVEN,328424.76
2026-03-03 07:00:00+00:00,LONG,5356.50625,5353.4025,21.16,10945.89,148.12,10797.77,2,True,WIN,339222.53
2026-03-04 06:42:00+00:00,LONG,5155.1262,5150.9624,16.29,4521.89,114.03,4407.86,1,True,BREAKEVEN,343630.39
2026-03-05 11:39:00+00:00,LONG,5154.58991,5150.38982,16.36,4580.9,114.52,4466.38,1,True,BREAKEVEN,348096.77
2026-03-06 01:00:00+00:00,SHORT,5087.38098,5090.03196,26.26,-6961.47,183.82,-7145.29,0,True,LOSS,340951.48
2026-03-06 02:00:00+00:00,LONG,5077.53832,5073.62664,17.43,19585.56,122.01,19463.55,3,True,WIN,360415.02
2026-03-06 07:48:00+00:00,LONG,5116.17985,5112.9997,22.67,-7209.4,158.69,-7368.09,0,True,LOSS,353046.93
2026-03-06 11:36:00+00:00,LONG,5088.17496,5084.07992,17.24,4706.57,120.68,4585.89,1,True,BREAKEVEN,357632.82
2026-03-09 01:03:00+00:00,LONG,5142.15491,5133.17982,7.97,11921.91,55.79,11866.12,2,True,WIN,369498.94
2026-03-09 02:42:00+00:00,LONG,5051.17754,5037.60508,5.44,4922.28,38.08,4884.2,1,True,BREAKEVEN,374383.14
2026-03-09 04:00:00+00:00,LONG,5019.16305,5009.3361,7.62,21510.42,53.34,21457.08,3,False,WIN,395840.22
2026-03-10 03:00:00+00:00,LONG,5132.39427,5128.56854,20.69,5276.96,144.83,5132.13,1,True,BREAKEVEN,400972.35
2026-03-10 11:30:00+00:00,SHORT,5189.06169,5193.01338,20.29,-8017.98,142.03,-8160.01,0,True,LOSS,392812.34
2026-03-11 01:00:00+00:00,LONG,5190.45042,5189.04084,55.73,13092.65,390.11,12702.54,2,True,WIN,405514.88
2026-03-12 01:09:00+00:00,LONG,5169.04587,5166.67174,34.16,13516.71,239.12,13277.59,2,True,WIN,418792.47
2026-03-12 03:00:00+00:00,LONG,5128.60646,5123.84292,17.58,24056.03,123.06,23932.97,3,False,WIN,442725.44
2026-03-12 08:24:00+00:00,LONG,5138.31093,5135.87186,36.3,25433.5,254.1,25179.4,3,True,WIN,467904.83
2026-03-12 10:30:00+00:00,SHORT,5173.36141,5176.34282,31.39,-9358.65,219.73,-9578.38,0,True,LOSS,458326.46
2026-03-13 03:00:00+00:00,SHORT,5103.70683,5106.23366,36.28,5857.6,253.96,5603.64,1,True,BREAKEVEN,463930.1
2026-03-13 11:21:00+00:00,LONG,5061.84569,5056.80138,18.39,26647.64,128.73,26518.91,3,True,WIN,490449.01
2026-03-16 01:00:00+00:00,LONG,5010.17756,5007.72512,40.0,28179.52,280.0,27899.52,3,True,WIN,518348.53
2026-03-17 03:09:00+00:00,LONG,5002.68608,5000.56216,48.81,29779.83,341.67,29438.16,3,True,WIN,547786.68
2026-03-18 01:45:00+00:00,LONG,4994.05866,4992.00732,53.41,31472.8,373.87,31098.93,3,True,WIN,578885.62
2026-03-18 04:00:00+00:00,LONG,4998.22699,4995.91398,50.05,33254.99,350.35,32904.64,3,True,WIN,611790.25
2026-03-18 06:03:00+00:00,LONG,4987.58041,4984.43082,38.85,20393.6,271.95,20121.65,2,True,WIN,631911.9
2026-03-18 11:45:00+00:00,LONG,4980.15111,4976.56222,35.21,36299.56,246.47,36053.09,3,True,WIN,667964.99
2026-03-20 04:45:00+00:00,SHORT,4698.4545,4708.119,13.82,8807.49,96.74,8710.75,1,True,BREAKEVEN,676675.74
2026-03-23 02:36:00+00:00,LONG,4473.2221,4466.1742,19.2,9021.31,134.4,8886.91,1,True,BREAKEVEN,685562.65
2026-03-24 01:06:00+00:00,LONG,4365.59659,4356.71318,15.43,39375.02,108.01,39267.01,3,True,WIN,724829.66
2026-03-25 08:30:00+00:00,LONG,4550.51652,4546.64304,37.43,41648.21,262.01,41386.2,3,True,WIN,766215.87
2026-03-25 12:48:00+00:00,LONG,4532.57168,4526.93336,27.18,44022.47,190.26,43832.21,3,True,WIN,810048.07
2026-03-30 01:00:00+00:00,LONG,4485.7319,4480.1738,29.15,46541.47,204.05,46337.42,3,True,WIN,856385.5
2026-03-31 01:03:00+00:00,SHORT,4521.21408,4524.64816,49.88,47243.81,349.16,46894.65,3,True,WIN,903280.15
2026-03-31 06:24:00+00:00,LONG,4557.14569,4552.10138,35.81,-18063.67,250.67,-18314.34,0,True,LOSS,884965.8
2026-03-31 10:18:00+00:00,LONG,4547.69152,4544.77304,60.65,50846.7,424.55,50422.15,3,True,WIN,935387.95
